Using GPU: 1...
X_train.shape=(2383, 2, 64), y_train.shape=(2383,);
X_test.shape=(596, 2, 64), y_test.shape=(596,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9832497860374129
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.312500, cost=0.728354, test acc=0.639262, cost=0.652966, disagree_f1=0.779939, agree_f1=0.000000, average_f1=0.389969
BATCH 2 training acc=0.500000, cost=0.729147, test acc=0.639262, cost=0.650928, disagree_f1=0.779939, agree_f1=0.000000, average_f1=0.389969
BATCH 3 training acc=0.593750, cost=0.664053, test acc=0.639262, cost=0.649709, disagree_f1=0.779939, agree_f1=0.000000, average_f1=0.389969
BATCH 4 training acc=0.781250, cost=0.583927, test acc=0.639262, cost=0.648041, disagree_f1=0.779939, agree_f1=0.000000, average_f1=0.389969
BATCH 5 training acc=0.593750, cost=0.656439, test acc=0.639262, cost=0.651185, disagree_f1=0.779939, agree_f1=0.000000, average_f1=0.389969
BATCH 6 training acc=0.500000, cost=0.760210, test acc=0.639262, cost=0.645636, disagree_f1=0.779939, agree_f1=0.000000, average_f1=0.389969
BATCH 7 training acc=0.750000, cost=0.542624, test acc=0.639262, cost=0.647595, disagree_f1=0.779939, agree_f1=0.000000, average_f1=0.389969
BATCH 8 training acc=0.531250, cost=0.711698, test acc=0.639262, cost=0.642966, disagree_f1=0.779939, agree_f1=0.000000, average_f1=0.389969
BATCH 9 training acc=0.656250, cost=0.638742, test acc=0.639262, cost=0.639763, disagree_f1=0.779939, agree_f1=0.000000, average_f1=0.389969
BATCH 10 training acc=0.562500, cost=0.690341, test acc=0.652685, cost=0.638293, disagree_f1=0.785492, agree_f1=0.088106, average_f1=0.436799
BATCH 11 training acc=0.750000, cost=0.572360, test acc=0.666107, cost=0.637043, disagree_f1=0.786251, agree_f1=0.237548, average_f1=0.511900
BATCH 12 training acc=0.718750, cost=0.604877, test acc=0.674497, cost=0.635314, disagree_f1=0.786813, agree_f1=0.312057, average_f1=0.549435
BATCH 13 training acc=0.593750, cost=0.685390, test acc=0.677852, cost=0.635044, disagree_f1=0.789474, agree_f1=0.314286, average_f1=0.551880
BATCH 14 training acc=0.562500, cost=0.672000, test acc=0.671141, cost=0.637559, disagree_f1=0.789247, agree_f1=0.251908, average_f1=0.520578
BATCH 15 training acc=0.531250, cost=0.695600, test acc=0.674497, cost=0.635707, disagree_f1=0.789130, agree_f1=0.286765, average_f1=0.537948
BATCH 16 training acc=0.562500, cost=0.781011, test acc=0.671141, cost=0.630860, disagree_f1=0.780269, agree_f1=0.346667, average_f1=0.563468
BATCH 17 training acc=0.656250, cost=0.652548, test acc=0.669463, cost=0.631104, disagree_f1=0.772254, agree_f1=0.397554, average_f1=0.584904
BATCH 18 training acc=0.718750, cost=0.638649, test acc=0.651007, cost=0.636184, disagree_f1=0.744472, agree_f1=0.449735, average_f1=0.597104
BATCH 19 training acc=0.812500, cost=0.600549, test acc=0.659396, cost=0.633921, disagree_f1=0.751530, agree_f1=0.458667, average_f1=0.605098
BATCH 20 training acc=0.812500, cost=0.547447, test acc=0.676174, cost=0.625822, disagree_f1=0.772674, agree_f1=0.437318, average_f1=0.604996
BATCH 21 training acc=0.718750, cost=0.611709, test acc=0.677852, cost=0.622472, disagree_f1=0.776744, agree_f1=0.421687, average_f1=0.599215
BATCH 22 training acc=0.687500, cost=0.572476, test acc=0.672819, cost=0.625232, disagree_f1=0.779162, agree_f1=0.368932, average_f1=0.574047
BATCH 23 training acc=0.750000, cost=0.500226, test acc=0.674497, cost=0.652479, disagree_f1=0.785398, agree_f1=0.326389, average_f1=0.555894
BATCH 24 training acc=0.687500, cost=0.663204, test acc=0.674497, cost=0.675004, disagree_f1=0.786344, agree_f1=0.316901, average_f1=0.551623
BATCH 25 training acc=0.656250, cost=0.686601, test acc=0.677852, cost=0.670688, disagree_f1=0.787140, agree_f1=0.337931, average_f1=0.562535
BATCH 26 training acc=0.500000, cost=0.764298, test acc=0.681208, cost=0.640203, disagree_f1=0.783599, agree_f1=0.394904, average_f1=0.589252
BATCH 27 training acc=0.656250, cost=0.665243, test acc=0.682886, cost=0.610637, disagree_f1=0.774732, agree_f1=0.464589, average_f1=0.619661
BATCH 28 training acc=0.562500, cost=0.761866, test acc=0.661074, cost=0.613003, disagree_f1=0.734908, agree_f1=0.530233, average_f1=0.632570
BATCH 29 training acc=0.625000, cost=0.610634, test acc=0.642617, cost=0.627953, disagree_f1=0.696148, agree_f1=0.566191, average_f1=0.631170
BATCH 30 training acc=0.718750, cost=0.584057, test acc=0.645973, cost=0.630323, disagree_f1=0.692868, agree_f1=0.582178, average_f1=0.637523
BATCH 31 training acc=0.625000, cost=0.624041, test acc=0.661074, cost=0.616494, disagree_f1=0.719444, agree_f1=0.572034, average_f1=0.645739
BATCH 32 training acc=0.687500, cost=0.580263, test acc=0.664430, cost=0.605934, disagree_f1=0.733333, agree_f1=0.547511, average_f1=0.640422
BATCH 33 training acc=0.718750, cost=0.575155, test acc=0.684564, cost=0.591379, disagree_f1=0.766749, agree_f1=0.512953, average_f1=0.639851
BATCH 34 training acc=0.750000, cost=0.568083, test acc=0.694631, cost=0.588193, disagree_f1=0.790323, agree_f1=0.438272, average_f1=0.614297
BATCH 35 training acc=0.812500, cost=0.528984, test acc=0.692953, cost=0.607543, disagree_f1=0.794151, agree_f1=0.396040, average_f1=0.595095
BATCH 36 training acc=0.750000, cost=0.530395, test acc=0.687919, cost=0.643364, disagree_f1=0.795604, agree_f1=0.340426, average_f1=0.568015
BATCH 37 training acc=0.625000, cost=0.678757, test acc=0.687919, cost=0.660990, disagree_f1=0.796943, agree_f1=0.326087, average_f1=0.561515
BATCH 38 training acc=0.718750, cost=0.743371, test acc=0.686242, cost=0.650720, disagree_f1=0.796074, agree_f1=0.320000, average_f1=0.558037
BATCH 39 training acc=0.687500, cost=0.655977, test acc=0.691275, cost=0.622933, disagree_f1=0.798246, agree_f1=0.342857, average_f1=0.570551
BATCH 40 training acc=0.625000, cost=0.692046, test acc=0.694631, cost=0.593257, disagree_f1=0.797327, agree_f1=0.380952, average_f1=0.589140
BATCH 41 training acc=0.687500, cost=0.620022, test acc=0.699664, cost=0.577713, disagree_f1=0.797282, agree_f1=0.420712, average_f1=0.608997
BATCH 42 training acc=0.718750, cost=0.513835, test acc=0.706376, cost=0.576160, disagree_f1=0.792899, agree_f1=0.495677, average_f1=0.644288
BATCH 43 training acc=0.750000, cost=0.534218, test acc=0.706376, cost=0.577465, disagree_f1=0.785276, agree_f1=0.535809, average_f1=0.660543
BATCH 44 training acc=0.750000, cost=0.552767, test acc=0.708054, cost=0.574751, disagree_f1=0.785714, agree_f1=0.542105, average_f1=0.663910
BATCH 45 training acc=0.656250, cost=0.597373, test acc=0.719799, cost=0.571099, disagree_f1=0.790989, agree_f1=0.575064, average_f1=0.683026
BATCH 46 training acc=0.750000, cost=0.581477, test acc=0.709732, cost=0.563687, disagree_f1=0.788767, agree_f1=0.536193, average_f1=0.662480
BATCH 47 training acc=0.718750, cost=0.559298, test acc=0.716443, cost=0.556906, disagree_f1=0.794153, agree_f1=0.544474, average_f1=0.669314
BATCH 48 training acc=0.718750, cost=0.574388, test acc=0.718121, cost=0.554368, disagree_f1=0.799043, agree_f1=0.528090, average_f1=0.663566
BATCH 49 training acc=0.687500, cost=0.550461, test acc=0.703020, cost=0.565257, disagree_f1=0.794902, agree_f1=0.462006, average_f1=0.628454
BATCH 50 training acc=0.843750, cost=0.557940, test acc=0.703020, cost=0.577569, disagree_f1=0.796785, agree_f1=0.448598, average_f1=0.622692
BATCH 51 training acc=0.656250, cost=0.575441, test acc=0.711409, cost=0.577146, disagree_f1=0.801386, agree_f1=0.472393, average_f1=0.636889
BATCH 52 training acc=0.718750, cost=0.569111, test acc=0.713087, cost=0.565031, disagree_f1=0.797633, agree_f1=0.507205, average_f1=0.652419
BATCH 53 training acc=0.718750, cost=0.656650, test acc=0.716443, cost=0.554219, disagree_f1=0.794153, agree_f1=0.544474, average_f1=0.669314
BATCH 54 training acc=0.781250, cost=0.671291, test acc=0.708054, cost=0.552576, disagree_f1=0.772251, agree_f1=0.593458, average_f1=0.682855
BATCH 55 training acc=0.843750, cost=0.434738, test acc=0.694631, cost=0.559413, disagree_f1=0.751366, agree_f1=0.604348, average_f1=0.677857
BATCH 56 training acc=0.687500, cost=0.621948, test acc=0.704698, cost=0.571997, disagree_f1=0.749288, agree_f1=0.640816, average_f1=0.695052
BATCH 57 training acc=0.718750, cost=0.585815, test acc=0.701342, cost=0.576376, disagree_f1=0.744986, agree_f1=0.639676, average_f1=0.692331
BATCH 58 training acc=0.500000, cost=0.696415, test acc=0.696309, cost=0.569380, disagree_f1=0.750345, agree_f1=0.612420, average_f1=0.681382
BATCH 59 training acc=0.656250, cost=0.600622, test acc=0.709732, cost=0.560815, disagree_f1=0.769640, agree_f1=0.607710, average_f1=0.688675
BATCH 60 training acc=0.718750, cost=0.568051, test acc=0.711409, cost=0.555174, disagree_f1=0.782828, agree_f1=0.570000, average_f1=0.676414
BATCH 61 training acc=0.625000, cost=0.622783, test acc=0.709732, cost=0.554949, disagree_f1=0.784020, agree_f1=0.557545, average_f1=0.670782
BATCH 62 training acc=0.687500, cost=0.572132, test acc=0.708054, cost=0.556302, disagree_f1=0.780856, agree_f1=0.562814, average_f1=0.671835
BATCH 63 training acc=0.718750, cost=0.641263, test acc=0.708054, cost=0.556028, disagree_f1=0.782500, agree_f1=0.556122, average_f1=0.669311
BATCH 64 training acc=0.531250, cost=0.696223, test acc=0.709732, cost=0.556802, disagree_f1=0.783479, agree_f1=0.559796, average_f1=0.671638
BATCH 65 training acc=0.812500, cost=0.444584, test acc=0.718121, cost=0.557695, disagree_f1=0.785166, agree_f1=0.590244, average_f1=0.687705
BATCH 66 training acc=0.843750, cost=0.505349, test acc=0.721477, cost=0.554574, disagree_f1=0.787724, agree_f1=0.595122, average_f1=0.691423
BATCH 67 training acc=0.875000, cost=0.431355, test acc=0.724832, cost=0.548985, disagree_f1=0.796526, agree_f1=0.575130, average_f1=0.685828
