qrID,quoteText,responseText,topic,quote_stance,response_stance,text_disagree_agree,stance_disagree_agree
1@1,be sure to give your guns a big fat kiss tonight before you go to bed tonight 'cuz guns did really good today,"actually , they did n't the whole tragedy was caused by gun control if even one student was packing when that occured , 33 lives could have been saved but no , more victims of botched laws and corrupt politicians",gun control,1,0,0,0
1@2,"one of the biggest arguments against gun control is that if the government became too oppressive , the people would n't have the capacity to carry out a successful rebellion of course , if the government was becoming oppressive , it would likely implement gun control , so the absence of gun control is necessary to ensure that we do not take a plunge towards fascism !","not quite to be more correct regarding government and guns , the right to own weapons is for the right to revolt and revolt with violence our political philosophy is very clear on this that whenever any form of government becomes destructive of these ends , it is the right of the people to alter or to abolish it declearation of independace you have the right to try and revolt with violence you do n't have the right to win a revolt",gun control,0,0,0,1
1@5,so the answer to your question is that there is no answer,"so which is it the action is moral , the action is immoral , or there is no answer \? you seem confused",abortion,1,0,0,0
1@6,legality does not matter religous implications do not matter other peoples moral considerations do not matter what matters is you and what you are going to think about yourself in 5 years,"exact , to the point , amp beautiful",abortion,1,1,1,1
2@0,it can go both ways we all doubt it is what you do with it that matters,true,evolution,1,1,1,1
2@6,"too bad that does n't automatically give you the excuse to support discredited beliefs and it gives you no protection when others tell you to shut up and change your argument to address the facts abortion was never in the constitution however the second amendment and gun ownership is , was , and always has been roe v wade was judicial activism , heller was just the courts doing their job after 30 long years of trying to avoid the subject the two cases are n't comparable in the least stop using them","in other words , you think a supreme court decision should only shut down the debate if it 's a decision you agree with roe v wade and heller do share some striking similarities for example , scalia stated in heller nothing in our opinion should be taken to cast doubt on long standing prohibitions on the possession of firearms by felons and the mentally ill , or laws forbidding the carrying of firearms in sensitive places such as schools and government buildings , or laws imposing conditions and qualifications on the commercial sale of arms however , the text of the constitution has as much to say about such restrictions as it does about abortion i 've heard that scalia has been criticized for making such a statement because there is no clear historical precedent dating back 200 years of banning felons from owning firearms so neither the text of the second amendment nor tradition justifies such restrictions it is an example of judicial lawmaking",gun control,0,1,0,0
3@1,"strange , i was under the impression this article was referring to the roman catholic church",you 're not one of those people who does n't consider catholics christians are you \?,abortion,0,0,0,1
3@2,"and dont you get a kick out of sp calling herself a rational christian as she blasphemes god and attempts to disprove him in every post \? this is a person who does n't even know what the word hypocrite means , so she keeps that label under her user name","actually he does n't believe in a liar god like you , so really it 's you who 's the blasphemer and he 's a christian , you 're a biblist he actually follows christ , you just try to maintain the credibility of your god book",evolution,0,1,0,0
3@4,"i love these kinds of arguments ! both sides are in denial and see the other as stupid only one of them can be right , or else hooray ! pass the popcorn !","i'm not in denial about anything and do n't think evo 's are stupid because they do n't agree with me obiviously , things do n't work both ways",evolution,1,0,0,0
3@5,"actually , i strongly disagree with gay marriage anyway it just is n't marriage it is hypocritical and just plain disugusting",because you say so \?,gay marriage,0,1,0,0
